user_id,model,params,fold,is_final_fold,train_start,train_end,test_start,test_end,n_train,n_test,accuracy_top1,f1_macro_top1,recall@1,mrr@1,recall@3,mrr@3,recall@5,mrr@5
19,baseline,"{""half_life_days"": 30, ""ks"": [1, 3, 5], ""max_train_days"": 180, ""min_train_days"": 60, ""rank_k"": 60, ""rank_k_default"": 60, ""step_days"": 7, ""test_days"": 7}",10,False,2024-11-24 07:19:11.962001-03:00,2025-04-03 07:19:11.962001-03:00,2025-04-03 07:19:11.962001-03:00,2025-04-10 07:19:11.962001-03:00,25464,2102,0.04471931493815414,0.0012013563284760601,0.04471931493815414,0.04471931493815414,0.19029495718363462,0.10696162385030154,0.26117982873453854,0.12349349825562966
19,baseline,"{""half_life_days"": 30, ""ks"": [1, 3, 5], ""max_train_days"": 180, ""min_train_days"": 60, ""rank_k"": 60, ""rank_k_default"": 60, ""step_days"": 7, ""test_days"": 7}",11,False,2024-11-24 07:19:11.962001-03:00,2025-04-10 07:19:11.962001-03:00,2025-04-10 07:19:11.962001-03:00,2025-04-17 07:19:11.962001-03:00,27566,2907,0.0412796697626419,0.001349742863272305,0.0412796697626419,0.0412796697626419,0.09872721018231854,0.06650613461758975,0.13209494324045407,0.07417727324848074
19,baseline,"{""half_life_days"": 30, ""ks"": [1, 3, 5], ""max_train_days"": 180, ""min_train_days"": 60, ""rank_k"": 60, ""rank_k_default"": 60, ""step_days"": 7, ""test_days"": 7}",12,False,2024-11-24 07:19:11.962001-03:00,2025-04-17 07:19:11.962001-03:00,2025-04-17 07:19:11.962001-03:00,2025-04-24 07:19:11.962001-03:00,30473,729,0.0205761316872428,0.0003765769158350593,0.0205761316872428,0.0205761316872428,0.1700960219478738,0.08641975308641985,0.2729766803840878,0.10919067215363523
19,baseline,"{""half_life_days"": 30, ""ks"": [1, 3, 5], ""max_train_days"": 180, ""min_train_days"": 60, ""rank_k"": 60, ""rank_k_default"": 60, ""step_days"": 7, ""test_days"": 7}",13,False,2024-11-24 07:19:11.962001-03:00,2025-04-24 07:19:11.962001-03:00,2025-04-24 07:19:11.962001-03:00,2025-05-01 07:19:11.962001-03:00,31202,1542,0.005188067444876783,0.00026323934416158147,0.005188067444876783,0.005188067444876783,0.11024643320363164,0.04950281020319934,0.20946822308690013,0.07190877648076098
19,baseline,"{""half_life_days"": 30, ""ks"": [1, 3, 5], ""max_train_days"": 180, ""min_train_days"": 60, ""rank_k"": 60, ""rank_k_default"": 60, ""step_days"": 7, ""test_days"": 7}",14,False,2024-11-24 07:19:11.962001-03:00,2025-05-01 07:19:11.962001-03:00,2025-05-01 07:19:11.962001-03:00,2025-05-08 07:19:11.962001-03:00,32744,1948,0.03490759753593429,0.0005035137650283072,0.03490759753593429,0.03490759753593429,0.12268993839835729,0.06459616700889804,0.1904517453798768,0.08015058179329233
19,baseline,"{""half_life_days"": 30, ""ks"": [1, 3, 5], ""max_train_days"": 180, ""min_train_days"": 60, ""rank_k"": 60, ""rank_k_default"": 60, ""step_days"": 7, ""test_days"": 7}",15,False,2024-11-24 07:19:11.962001-03:00,2025-05-08 07:19:11.962001-03:00,2025-05-08 07:19:11.962001-03:00,2025-05-15 07:19:11.962001-03:00,34692,1692,0.061465721040189124,0.0016112614239023907,0.061465721040189124,0.061465721040189124,0.23108747044917258,0.12982663514578385,0.2895981087470449,0.14220843183609116
19,baseline,"{""half_life_days"": 30, ""ks"": [1, 3, 5], ""max_train_days"": 180, ""min_train_days"": 60, ""rank_k"": 60, ""rank_k_default"": 60, ""step_days"": 7, ""test_days"": 7}",16,False,2024-11-24 07:19:11.962001-03:00,2025-05-15 07:19:11.962001-03:00,2025-05-15 07:19:11.962001-03:00,2025-05-22 07:19:11.962001-03:00,36384,1048,0.06202290076335878,0.0011947762149212594,0.06202290076335878,0.06202290076335878,0.13072519083969467,0.09478371501272265,0.16125954198473283,0.10189249363867688
19,baseline,"{""half_life_days"": 30, ""ks"": [1, 3, 5], ""max_train_days"": 180, ""min_train_days"": 60, ""rank_k"": 60, ""rank_k_default"": 60, ""step_days"": 7, ""test_days"": 7}",17,False,2024-11-24 07:19:11.962001-03:00,2025-05-22 07:19:11.962001-03:00,2025-05-22 07:19:11.962001-03:00,2025-05-29 07:19:11.962001-03:00,37432,1238,0.06623586429725363,0.0007856287425149701,0.06623586429725363,0.06623586429725363,0.13893376413570274,0.10016155088852988,0.1890145395799677,0.11175282714054927
19,baseline,"{""half_life_days"": 30, ""ks"": [1, 3, 5], ""max_train_days"": 180, ""min_train_days"": 60, ""rank_k"": 60, ""rank_k_default"": 60, ""step_days"": 7, ""test_days"": 7}",18,False,2024-11-30 07:19:11.962001-03:00,2025-05-29 07:19:11.962001-03:00,2025-05-29 07:19:11.962001-03:00,2025-06-05 07:19:11.962001-03:00,34349,1096,0.0948905109489051,0.0012453300124533001,0.0948905109489051,0.0948905109489051,0.21076642335766424,0.14142335766423356,0.27007299270072993,0.15547445255474465
19,baseline,"{""half_life_days"": 30, ""ks"": [1, 3, 5], ""max_train_days"": 180, ""min_train_days"": 60, ""rank_k"": 60, ""rank_k_default"": 60, ""step_days"": 7, ""test_days"": 7}",19,False,2024-12-07 07:19:11.962001-03:00,2025-06-05 07:19:11.962001-03:00,2025-06-05 07:19:11.962001-03:00,2025-06-12 07:19:11.962001-03:00,33756,2429,0.06051873198847262,0.0010165806587062944,0.06051873198847262,0.06051873198847262,0.1062165500205846,0.07938795114587627,0.18279127212844792,0.09540277205983214
