model,test_start,test_end,users_in_window,total_n_test,total_n_train,accuracy_top1,f1_macro_top1,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5
baseline,2025-03-20 13:54:27.589002-03:00,2025-03-27 13:54:27.589002-03:00,1,760,19828,0.2131578947368421,0.0036330242039280076,0.2131578947368421,0.2644736842105263,0.41578947368421054,0.2131578947368421,0.2388157894736842,0.27559210526315764
baseline,2025-03-20 23:05:36.614007-03:00,2025-03-27 23:05:36.614007-03:00,1,48,178,0.020833333333333332,0.006250000000000001,0.020833333333333332,0.22916666666666666,0.5625,0.020833333333333332,0.1111111111111111,0.19236111111111107
baseline,2025-03-21 14:30:05.710000-03:00,2025-03-28 14:30:05.710000-03:00,1,627,4069,0.13237639553429026,0.004676056338028169,0.13237639553429026,0.2711323763955343,0.3189792663476874,0.13237639553429026,0.19590643274853792,0.20603402445507704
baseline,2025-03-21 22:34:49.777003-03:00,2025-03-28 22:34:49.777003-03:00,1,200,4797,0.015,0.0005911330049261083,0.015,0.045,0.08,0.015,0.026666666666666665,0.034666666666666665
baseline,2025-03-22 10:28:20.800009-03:00,2025-03-29 10:28:20.800009-03:00,1,226,5217,0.017699115044247787,0.0012260536398467432,0.017699115044247787,0.22566371681415928,0.25663716814159293,0.017699115044247787,0.09218289085545722,0.09882005899705011
baseline,2025-03-24 14:14:43.247008-03:00,2025-03-31 14:14:43.247008-03:00,1,57,159,0.22807017543859648,0.033166109253065776,0.22807017543859648,0.38596491228070173,0.43859649122807015,0.22807017543859648,0.304093567251462,0.3172514619883041
baseline,2025-03-25 19:11:24.650007-03:00,2025-04-01 19:11:24.650007-03:00,1,3659,6400,0.0,0.0,0.0,0.0005465974309920743,0.0352555342989888,0.0,0.00027329871549603714,0.008950532932495217
baseline,2025-03-27 07:19:11.962001-03:00,2025-04-03 07:19:11.962001-03:00,1,1402,24062,0.08630527817403709,0.001958945880039248,0.08630527817403709,0.1833095577746077,0.38587731811697573,0.08630527817403709,0.1282691393247742,0.17620066571564424
baseline,2025-03-27 07:29:04.576003-03:00,2025-04-03 07:29:04.576003-03:00,1,1035,11727,0.018357487922705314,0.000152122915315575,0.018357487922705314,0.07149758454106281,0.11304347826086956,0.018357487922705314,0.04186795491143318,0.05119162640901775
baseline,2025-03-27 09:14:25.081005-03:00,2025-04-03 09:14:25.081005-03:00,1,97,2674,0.05154639175257732,0.001948178453146308,0.05154639175257732,0.12371134020618557,0.13402061855670103,0.05154639175257732,0.0824742268041237,0.08505154639175258
baseline,2025-03-27 11:29:41.527005-03:00,2025-04-03 11:29:41.527005-03:00,1,404,9572,0.13861386138613863,0.006362731795567616,0.13861386138613863,0.2599009900990099,0.3316831683168317,0.13861386138613863,0.17986798679867996,0.1971947194719473
baseline,2025-03-27 11:43:42.906010-03:00,2025-04-03 11:43:42.906010-03:00,1,4314,33875,0.11381548446917014,0.004203892768165159,0.11381548446917014,0.21372276309689384,0.27005099675475197,0.11381548446917014,0.15832174316179926,0.17068845618915285
baseline,2025-03-27 12:00:34.919013-03:00,2025-04-03 12:00:34.919013-03:00,1,32,647,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.00625
baseline,2025-03-27 13:54:27.589002-03:00,2025-04-03 13:54:27.589002-03:00,1,945,20588,0.13015873015873017,0.00267889785801294,0.13015873015873017,0.24126984126984127,0.29523809523809524,0.13015873015873017,0.17760141093474427,0.1883950617283952
baseline,2025-03-27 23:05:36.614007-03:00,2025-04-03 23:05:36.614007-03:00,1,75,226,0.09333333333333334,0.02832423524564837,0.09333333333333334,0.37333333333333335,0.44,0.09333333333333334,0.1955555555555556,0.2122222222222223
baseline,2025-03-28 14:30:05.710000-03:00,2025-04-04 14:30:05.710000-03:00,1,257,4696,0.07782101167315175,0.002888086642599278,0.07782101167315175,0.12840466926070038,0.17898832684824903,0.07782101167315175,0.09987029831387807,0.11154345006485082
baseline,2025-03-28 22:34:49.777003-03:00,2025-04-04 22:34:49.777003-03:00,1,138,4997,0.08695652173913043,0.0035555555555555557,0.08695652173913043,0.18115942028985507,0.2318840579710145,0.08695652173913043,0.12681159420289856,0.13695652173913045
baseline,2025-03-29 08:47:57.581000-03:00,2025-04-05 08:47:57.581000-03:00,1,30,595,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.008333333333333333
baseline,2025-03-29 10:28:20.800009-03:00,2025-04-05 10:28:20.800009-03:00,1,477,5443,0.2138364779874214,0.01651499369552108,0.2138364779874214,0.41509433962264153,0.46750524109014674,0.2138364779874214,0.30433263452131387,0.3165967854647101
baseline,2025-03-31 14:14:43.247008-03:00,2025-04-07 14:14:43.247008-03:00,1,24,216,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.0,0.18055555555555558,0.18055555555555558
baseline,2025-04-01 19:11:24.650007-03:00,2025-04-08 19:11:24.650007-03:00,1,835,10059,0.0011976047904191617,9.261831990367695e-05,0.0011976047904191617,0.004790419161676647,0.12335329341317365,0.0011976047904191617,0.0027944111776447103,0.026566866267465024
baseline,2025-04-03 07:19:11.962001-03:00,2025-04-10 07:19:11.962001-03:00,1,2102,25464,0.04471931493815414,0.0012013563284760601,0.04471931493815414,0.19029495718363462,0.26117982873453854,0.04471931493815414,0.10696162385030154,0.12349349825562966
baseline,2025-04-03 07:29:04.576003-03:00,2025-04-10 07:29:04.576003-03:00,1,1080,12762,0.03888888888888889,0.0002959142694088055,0.03888888888888889,0.07222222222222222,0.10833333333333334,0.03888888888888889,0.05308641975308642,0.06104938271604941
baseline,2025-04-03 09:14:25.081005-03:00,2025-04-10 09:14:25.081005-03:00,1,211,2771,0.018957345971563982,0.000528680941052075,0.018957345971563982,0.07109004739336493,0.0947867298578199,0.018957345971563982,0.04186413902053712,0.04755134281200631
baseline,2025-04-03 11:29:41.527005-03:00,2025-04-10 11:29:41.527005-03:00,1,494,9976,0.09109311740890688,0.007305358886867403,0.09109311740890688,0.1700404858299595,0.27530364372469635,0.09109311740890688,0.1282051282051282,0.15199055330634284
baseline,2025-04-03 11:43:42.906010-03:00,2025-04-10 11:43:42.906010-03:00,1,3141,38189,0.07863737663164597,0.0018992187977094753,0.07863737663164597,0.2314549506526584,0.3078637376631646,0.07863737663164597,0.14321341398705234,0.16019845059959603
baseline,2025-04-03 12:00:34.919013-03:00,2025-04-10 12:00:34.919013-03:00,1,2,679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2025-04-03 13:54:27.589002-03:00,2025-04-10 13:54:27.589002-03:00,1,525,21533,0.13333333333333333,0.004159478174556283,0.13333333333333333,0.2857142857142857,0.32,0.13333333333333333,0.19460317460317458,0.2025079365079365
baseline,2025-04-03 23:05:36.614007-03:00,2025-04-10 23:05:36.614007-03:00,1,40,301,0.125,0.03003003003003003,0.125,0.5,0.65,0.125,0.2791666666666667,0.3166666666666667
baseline,2025-04-04 14:30:05.710000-03:00,2025-04-11 14:30:05.710000-03:00,1,139,4953,0.17266187050359713,0.0084136722173532,0.17266187050359713,0.2158273381294964,0.31654676258992803,0.17266187050359713,0.19184652278177455,0.2145083932853717
baseline,2025-04-04 22:34:49.777003-03:00,2025-04-11 22:34:49.777003-03:00,1,552,5135,0.043478260869565216,0.0008333333333333333,0.043478260869565216,0.10507246376811594,0.1431159420289855,0.043478260869565216,0.06823671497584538,0.07729468599033812
baseline,2025-04-05 08:47:57.581000-03:00,2025-04-12 08:47:57.581000-03:00,1,36,625,0.0,0.0,0.0,0.027777777777777776,0.25,0.0,0.013888888888888888,0.06805555555555556
baseline,2025-04-05 10:28:20.800009-03:00,2025-04-12 10:28:20.800009-03:00,1,594,5920,0.2053872053872054,0.016025366202215077,0.2053872053872054,0.43434343434343436,0.4377104377104377,0.2053872053872054,0.3058361391694726,0.3065937149270484
baseline,2025-04-07 14:14:43.247008-03:00,2025-04-14 14:14:43.247008-03:00,1,29,240,0.10344827586206896,0.052910052910052914,0.10344827586206896,0.41379310344827586,0.4482758620689655,0.10344827586206896,0.24712643678160917,0.2557471264367816
baseline,2025-04-08 19:11:24.650007-03:00,2025-04-15 19:11:24.650007-03:00,1,2297,10894,0.0034828036569438396,0.000609570252971655,0.0034828036569438396,0.0034828036569438396,0.01872006965607314,0.0034828036569438396,0.0034828036569438396,0.006922072268175876
baseline,2025-04-10 07:19:11.962001-03:00,2025-04-17 07:19:11.962001-03:00,1,2907,27566,0.0412796697626419,0.001349742863272305,0.0412796697626419,0.09872721018231854,0.13209494324045407,0.0412796697626419,0.06650613461758975,0.07417727324848074
baseline,2025-04-10 07:29:04.576003-03:00,2025-04-17 07:29:04.576003-03:00,1,1310,13842,0.05877862595419847,0.0004158464500484704,0.05877862595419847,0.08854961832061069,0.166412213740458,0.05877862595419847,0.07111959287531806,0.09005089058524174
baseline,2025-04-10 09:14:25.081005-03:00,2025-04-17 09:14:25.081005-03:00,1,176,2982,0.03977272727272727,0.003012389035216077,0.03977272727272727,0.08522727272727272,0.10795454545454546,0.03977272727272727,0.05965909090909091,0.06505681818181817
baseline,2025-04-10 11:29:41.527005-03:00,2025-04-17 11:29:41.527005-03:00,1,447,10470,0.09843400447427293,0.006394411941638329,0.09843400447427293,0.1767337807606264,0.31767337807606266,0.09843400447427293,0.13460104399701717,0.16592095451155847
baseline,2025-04-10 11:43:42.906010-03:00,2025-04-17 11:43:42.906010-03:00,1,4338,41330,0.04771784232365145,0.001541066135353189,0.04771784232365145,0.22383586906408484,0.3441678192715537,0.04771784232365145,0.12759336099585056,0.15292761641309446
baseline,2025-04-10 12:00:34.919013-03:00,2025-04-17 12:00:34.919013-03:00,1,17,681,0.058823529411764705,0.0078125,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0784313725490196,0.0784313725490196
baseline,2025-04-10 13:54:27.589002-03:00,2025-04-17 13:54:27.589002-03:00,1,952,22058,0.08298319327731092,0.0023864284189193947,0.08298319327731092,0.1565126050420168,0.25315126050420167,0.08298319327731092,0.11869747899159662,0.13965336134453768
baseline,2025-04-10 23:05:36.614007-03:00,2025-04-17 23:05:36.614007-03:00,1,30,341,0.0,0.0,0.0,0.06666666666666667,0.2,0.0,0.02222222222222222,0.050555555555555555
baseline,2025-04-11 14:30:05.710000-03:00,2025-04-18 14:30:05.710000-03:00,1,57,5092,0.12280701754385964,0.012867647058823529,0.12280701754385964,0.3333333333333333,0.40350877192982454,0.12280701754385964,0.19590643274853806,0.21257309941520472
baseline,2025-04-11 22:34:49.777003-03:00,2025-04-18 22:34:49.777003-03:00,1,215,5687,0.08372093023255814,0.0026639040994524197,0.08372093023255814,0.2651162790697674,0.34418604651162793,0.08372093023255814,0.1589147286821705,0.17658914728682168
baseline,2025-04-12 08:47:57.581000-03:00,2025-04-19 08:47:57.581000-03:00,1,36,661,0.08333333333333333,0.010084033613445379,0.08333333333333333,0.1388888888888889,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.11805555555555555
baseline,2025-04-12 10:28:20.800009-03:00,2025-04-19 10:28:20.800009-03:00,1,269,6514,0.10037174721189591,0.004449571522742254,0.10037174721189591,0.4052044609665427,0.40892193308550184,0.10037174721189591,0.2187112763320943,0.21964064436183411
baseline,2025-04-14 14:14:43.247008-03:00,2025-04-21 14:14:43.247008-03:00,1,32,269,0.03125,0.009523809523809525,0.03125,0.3125,0.3125,0.03125,0.171875,0.171875
baseline,2025-04-14 16:21:46.497003-03:00,2025-04-21 16:21:46.497003-03:00,1,99,6160,0.010101010101010102,0.0004166666666666667,0.010101010101010102,0.030303030303030304,0.050505050505050504,0.010101010101010102,0.018518518518518517,0.023063973063973064
baseline,2025-04-15 19:11:24.650007-03:00,2025-04-22 19:11:24.650007-03:00,1,2,13191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2025-04-17 07:19:11.962001-03:00,2025-04-24 07:19:11.962001-03:00,1,729,30473,0.0205761316872428,0.00037657691583505937,0.0205761316872428,0.1700960219478738,0.2729766803840878,0.0205761316872428,0.08641975308641985,0.10919067215363523
baseline,2025-04-17 07:29:04.576003-03:00,2025-04-24 07:29:04.576003-03:00,1,882,15152,0.032879818594104306,0.0002780187806479755,0.032879818594104306,0.06235827664399093,0.09750566893424037,0.032879818594104306,0.04478458049886622,0.05272108843537417
baseline,2025-04-17 09:14:25.081005-03:00,2025-04-24 09:14:25.081005-03:00,1,222,3158,0.08558558558558559,0.005718056897730218,0.08558558558558559,0.12162162162162163,0.14864864864864866,0.08558558558558559,0.1006006006006006,0.10690690690690689
baseline,2025-04-17 11:29:41.527005-03:00,2025-04-24 11:29:41.527005-03:00,1,364,10917,0.13186813186813187,0.011840407754804641,0.13186813186813187,0.3159340659340659,0.36813186813186816,0.13186813186813187,0.21794871794871798,0.22893772893772896
baseline,2025-04-17 11:43:42.906010-03:00,2025-04-24 11:43:42.906010-03:00,1,3541,45668,0.08585145439141485,0.0029188624843129165,0.08585145439141485,0.18186952838181306,0.2778876023722112,0.08585145439141485,0.12628259437070521,0.1492139696884119
baseline,2025-04-17 12:00:34.919013-03:00,2025-04-24 12:00:34.919013-03:00,1,66,698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2025-04-17 13:54:27.589002-03:00,2025-04-24 13:54:27.589002-03:00,1,1075,23010,0.09767441860465116,0.0035145123633863705,0.09767441860465116,0.1869767441860465,0.20093023255813955,0.09767441860465116,0.14124031007751942,0.1443565891472868
baseline,2025-04-17 23:05:36.614007-03:00,2025-04-24 23:05:36.614007-03:00,1,68,371,0.14705882352941177,0.03578822833481218,0.14705882352941177,0.4264705882352941,0.5441176470588235,0.14705882352941177,0.2671568627450981,0.29289215686274506
baseline,2025-04-18 14:30:05.710000-03:00,2025-04-25 14:30:05.710000-03:00,1,192,5149,0.13020833333333334,0.0033393441528083885,0.13020833333333334,0.19791666666666666,0.22395833333333334,0.13020833333333334,0.16319444444444445,0.16892361111111112
baseline,2025-04-18 22:34:49.777003-03:00,2025-04-25 22:34:49.777003-03:00,1,966,5902,0.012422360248447204,0.00011970671853957804,0.012422360248447204,0.038302277432712216,0.052795031055900624,0.012422360248447204,0.02346445824706694,0.026518288474810206
baseline,2025-04-19 08:47:57.581000-03:00,2025-04-26 08:47:57.581000-03:00,1,94,697,0.1702127659574468,0.030372933487120335,0.1702127659574468,0.2872340425531915,0.3191489361702128,0.1702127659574468,0.2234042553191489,0.23138297872340421
baseline,2025-04-19 10:28:20.800009-03:00,2025-04-26 10:28:20.800009-03:00,1,595,6783,0.21008403361344538,0.02269969313119045,0.21008403361344538,0.41680672268907565,0.4857142857142857,0.21008403361344538,0.2960784313725495,0.31330532212885215
baseline,2025-04-21 14:14:43.247008-03:00,2025-04-28 14:14:43.247008-03:00,1,51,301,0.1568627450980392,0.07325853692635699,0.1568627450980392,0.17647058823529413,0.17647058823529413,0.1568627450980392,0.16339869281045752,0.16339869281045752
baseline,2025-04-21 16:21:46.497003-03:00,2025-04-28 16:21:46.497003-03:00,1,225,6259,0.022222222222222223,0.000528429507503699,0.022222222222222223,0.04,0.057777777777777775,0.022222222222222223,0.029629629629629627,0.03385185185185185
baseline,2025-04-22 19:11:24.650007-03:00,2025-04-29 19:11:24.650007-03:00,1,156,13193,0.0,0.0,0.0,0.2564102564102564,0.2564102564102564,0.0,0.1196581196581196,0.1196581196581196
baseline,2025-04-24 07:19:11.962001-03:00,2025-05-01 07:19:11.962001-03:00,1,1542,31202,0.005188067444876783,0.00026323934416158147,0.005188067444876783,0.11024643320363164,0.20946822308690013,0.005188067444876783,0.04950281020319934,0.07190877648076098
baseline,2025-04-24 07:29:04.576003-03:00,2025-05-01 07:29:04.576003-03:00,1,1786,16034,0.03303471444568869,0.00023256959842325695,0.03303471444568869,0.07390817469204927,0.11310190369540873,0.03303471444568869,0.04964539007092197,0.05829600597237779
baseline,2025-04-24 09:14:25.081005-03:00,2025-05-01 09:14:25.081005-03:00,1,115,3380,0.13043478260869565,0.008952768099109562,0.13043478260869565,0.24347826086956523,0.3130434782608696,0.13043478260869565,0.18115942028985504,0.19768115942028983
baseline,2025-04-24 11:29:41.527005-03:00,2025-05-01 11:29:41.527005-03:00,1,465,11281,0.16989247311827957,0.006336722341026965,0.16989247311827957,0.3935483870967742,0.5032258064516129,0.16989247311827957,0.27383512544802846,0.29888888888888887
baseline,2025-04-24 11:43:42.906010-03:00,2025-05-01 11:43:42.906010-03:00,1,2883,49209,0.0839403399236906,0.002535622047461724,0.0839403399236906,0.25841137703780787,0.3298647242455775,0.0839403399236906,0.16377615909353713,0.17990519135160152
baseline,2025-04-24 12:00:34.919013-03:00,2025-05-01 12:00:34.919013-03:00,1,13,764,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.038461538461538464
baseline,2025-04-24 13:54:27.589002-03:00,2025-05-01 13:54:27.589002-03:00,1,146,24085,0.2191780821917808,0.011832611832611832,0.2191780821917808,0.2602739726027397,0.2602739726027397,0.2191780821917808,0.23858447488584478,0.23858447488584478
baseline,2025-04-24 23:05:36.614007-03:00,2025-05-01 23:05:36.614007-03:00,1,84,439,0.13095238095238096,0.02291666666666667,0.13095238095238096,0.19047619047619047,0.4166666666666667,0.13095238095238096,0.15873015873015872,0.21289682539682536
baseline,2025-04-25 14:30:05.710000-03:00,2025-05-02 14:30:05.710000-03:00,1,233,5341,0.31759656652360513,0.01417896148687488,0.31759656652360513,0.38197424892703863,0.5064377682403434,0.31759656652360513,0.34620886981402,0.3753934191702432
baseline,2025-04-25 22:34:49.777003-03:00,2025-05-02 22:34:49.777003-03:00,1,35,6868,0.08571428571428572,0.009287925696594427,0.08571428571428572,0.34285714285714286,0.4,0.08571428571428572,0.1857142857142857,0.19714285714285712
baseline,2025-04-26 08:47:57.581000-03:00,2025-05-03 08:47:57.581000-03:00,1,38,791,0.5,0.08331927812447293,0.5,0.631578947368421,0.6842105263157895,0.5,0.5526315789473685,0.5644736842105263
baseline,2025-04-26 10:28:20.800009-03:00,2025-05-03 10:28:20.800009-03:00,1,18,7378,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333
baseline,2025-04-28 14:14:43.247008-03:00,2025-05-05 14:14:43.247008-03:00,1,46,352,0.15217391304347827,0.0700280112044818,0.15217391304347827,0.2608695652173913,0.30434782608695654,0.15217391304347827,0.20652173913043478,0.21630434782608693
baseline,2025-04-28 16:21:46.497003-03:00,2025-05-05 16:21:46.497003-03:00,1,99,6484,0.0,0.0,0.0,0.15151515151515152,0.16161616161616163,0.0,0.0505050505050505,0.05303030303030302
baseline,2025-04-29 19:11:24.650007-03:00,2025-05-06 19:11:24.650007-03:00,1,11,13349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2025-05-01 07:19:11.962001-03:00,2025-05-08 07:19:11.962001-03:00,1,1948,32744,0.03490759753593429,0.0005035137650283072,0.03490759753593429,0.12268993839835729,0.1904517453798768,0.03490759753593429,0.06459616700889804,0.08015058179329233
baseline,2025-05-01 07:29:04.576003-03:00,2025-05-08 07:29:04.576003-03:00,1,970,17820,0.08350515463917525,0.0007986472296307982,0.08350515463917525,0.17422680412371133,0.20824742268041238,0.08350515463917525,0.1268041237113402,0.1348969072164949
baseline,2025-05-01 09:14:25.081005-03:00,2025-05-08 09:14:25.081005-03:00,1,139,3495,0.09352517985611511,0.005338366835963598,0.09352517985611511,0.17985611510791366,0.20863309352517986,0.09352517985611511,0.12949640287769784,0.13633093525179857
baseline,2025-05-01 11:29:41.527005-03:00,2025-05-08 11:29:41.527005-03:00,1,502,11746,0.061752988047808766,0.0029878349389082094,0.061752988047808766,0.1852589641434263,0.3466135458167331,0.061752988047808766,0.11321381142098275,0.15026560424966806
baseline,2025-05-01 11:43:42.906010-03:00,2025-05-08 11:43:42.906010-03:00,1,4481,52092,0.1702744923008257,0.0036564034982628493,0.1702744923008257,0.30997545190805625,0.42579781298817226,0.1702744923008257,0.2311240050583957,0.25693297627017714
baseline,2025-05-01 12:00:34.919013-03:00,2025-05-08 12:00:34.919013-03:00,1,25,777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,2025-05-01 13:54:27.589002-03:00,2025-05-08 13:54:27.589002-03:00,1,415,24231,0.3180722891566265,0.011648002986188876,0.3180722891566265,0.38795180722891565,0.40240963855421685,0.3180722891566265,0.34538152610441786,0.34887550200803225
baseline,2025-05-01 23:05:36.614007-03:00,2025-05-08 23:05:36.614007-03:00,1,45,523,0.044444444444444446,0.019138755980861243,0.044444444444444446,0.3333333333333333,0.5111111111111111,0.044444444444444446,0.16666666666666663,0.2044444444444444
baseline,2025-05-02 14:30:05.710000-03:00,2025-05-09 14:30:05.710000-03:00,1,270,5574,0.2962962962962963,0.013852813852813853,0.2962962962962963,0.4148148148148148,0.44074074074074077,0.2962962962962963,0.3425925925925923,0.3485185185185183
baseline,2025-05-02 22:34:49.777003-03:00,2025-05-09 22:34:49.777003-03:00,1,211,6903,0.07109004739336493,0.001491498458784926,0.07109004739336493,0.12796208530805686,0.13744075829383887,0.07109004739336493,0.0947867298578199,0.0966824644549763
baseline,2025-05-03 08:47:57.581000-03:00,2025-05-10 08:47:57.581000-03:00,1,14,829,0.0,0.0,0.0,0.35714285714285715,0.42857142857142855,0.0,0.15476190476190474,0.16904761904761903
baseline,2025-05-03 10:28:20.800009-03:00,2025-05-10 10:28:20.800009-03:00,1,420,7396,0.12857142857142856,0.01442964634099445,0.12857142857142856,0.4523809523809524,0.5023809523809524,0.12857142857142856,0.26547619047619,0.2761904761904757
baseline,2025-05-05 14:14:43.247008-03:00,2025-05-12 14:14:43.247008-03:00,1,31,398,0.25806451612903225,0.12222222222222223,0.25806451612903225,0.3870967741935484,0.3870967741935484,0.25806451612903225,0.30107526881720426,0.30107526881720426
baseline,2025-05-05 16:21:46.497003-03:00,2025-05-12 16:21:46.497003-03:00,1,65,6583,0.015384615384615385,0.0010141987829614604,0.015384615384615385,0.06153846153846154,0.07692307692307693,0.015384615384615385,0.03333333333333333,0.03717948717948718
baseline,2025-05-06 19:11:24.650007-03:00,2025-05-13 19:11:24.650007-03:00,1,116,13360,0.0,0.0,0.0,0.10344827586206896,0.25,0.0,0.034482758620689655,0.07112068965517242
baseline,2025-05-08 07:19:11.962001-03:00,2025-05-15 07:19:11.962001-03:00,1,1692,34692,0.061465721040189124,0.0016112614239023905,0.061465721040189124,0.23108747044917258,0.2895981087470449,0.061465721040189124,0.12982663514578385,0.14220843183609116
baseline,2025-05-08 07:29:04.576003-03:00,2025-05-15 07:29:04.576003-03:00,1,939,18790,0.06815761448349308,0.0005991415425086243,0.06815761448349308,0.13631522896698617,0.17252396166134185,0.06815761448349308,0.09833155839545614,0.10674476393326235
baseline,2025-05-08 09:14:25.081005-03:00,2025-05-15 09:14:25.081005-03:00,1,203,3634,0.10344827586206896,0.005333247313215378,0.10344827586206896,0.23645320197044334,0.23645320197044334,0.10344827586206896,0.15845648604269288,0.15845648604269288
baseline,2025-05-08 11:29:41.527005-03:00,2025-05-15 11:29:41.527005-03:00,1,259,12248,0.08494208494208494,0.00871755959485728,0.08494208494208494,0.3127413127413127,0.4092664092664093,0.08494208494208494,0.17245817245817252,0.19407979407979425
baseline,2025-05-08 11:43:42.906010-03:00,2025-05-15 11:43:42.906010-03:00,1,5742,56573,0.11389759665621735,0.002411197690559276,0.11389759665621735,0.20376175548589343,0.2704632532218739,0.11389759665621735,0.15029606408916826,0.16448101706722565
baseline,2025-05-08 12:00:34.919013-03:00,2025-05-15 12:00:34.919013-03:00,1,45,802,0.022222222222222223,0.005555555555555555,0.022222222222222223,0.06666666666666667,0.06666666666666667,0.022222222222222223,0.037037037037037035,0.037037037037037035
baseline,2025-05-08 13:54:27.589002-03:00,2025-05-15 13:54:27.589002-03:00,1,532,24646,0.18233082706766918,0.005523774622426431,0.18233082706766918,0.35902255639097747,0.3966165413533835,0.18233082706766918,0.27036340852130325,0.27976190476190477
baseline,2025-05-08 23:05:36.614007-03:00,2025-05-15 23:05:36.614007-03:00,1,63,568,0.14285714285714285,0.024725274725274728,0.14285714285714285,0.3492063492063492,0.3968253968253968,0.14285714285714285,0.2433862433862434,0.25529100529100535
baseline,2025-05-09 14:30:05.710000-03:00,2025-05-16 14:30:05.710000-03:00,1,244,5844,0.3442622950819672,0.012195121951219513,0.3442622950819672,0.4139344262295082,0.5,0.3442622950819672,0.3709016393442622,0.3911885245901639
baseline,2025-05-09 22:34:49.777003-03:00,2025-05-16 22:34:49.777003-03:00,1,133,7114,0.09774436090225563,0.0031242489786109107,0.09774436090225563,0.22556390977443608,0.2706766917293233,0.09774436090225563,0.14912280701754388,0.15964912280701754
baseline,2025-05-10 08:47:57.581000-03:00,2025-05-17 08:47:57.581000-03:00,1,14,843,0.21428571428571427,0.09523809523809523,0.21428571428571427,0.5714285714285714,0.7857142857142857,0.21428571428571427,0.38095238095238093,0.42738095238095236
baseline,2025-05-10 10:28:20.800009-03:00,2025-05-17 10:28:20.800009-03:00,1,453,7816,0.152317880794702,0.01257584114726972,0.152317880794702,0.47240618101545256,0.6048565121412803,0.152317880794702,0.29948491537895505,0.3264164827078733
baseline,2025-05-12 14:14:43.247008-03:00,2025-05-19 14:14:43.247008-03:00,1,18,429,0.16666666666666666,0.10310901219992129,0.16666666666666666,0.5,0.5,0.16666666666666666,0.3148148148148148,0.3148148148148148
baseline,2025-05-13 19:11:24.650007-03:00,2025-05-20 19:11:24.650007-03:00,1,194,13476,0.05154639175257732,0.004364906154517678,0.05154639175257732,0.1134020618556701,0.13402061855670103,0.05154639175257732,0.07216494845360824,0.07731958762886598
baseline,2025-05-15 07:19:11.962001-03:00,2025-05-22 07:19:11.962001-03:00,1,1048,36384,0.06202290076335878,0.0011947762149212594,0.06202290076335878,0.13072519083969467,0.16125954198473283,0.06202290076335878,0.09478371501272265,0.10189249363867688
baseline,2025-05-15 07:29:04.576003-03:00,2025-05-22 07:29:04.576003-03:00,1,1449,19729,0.06073153899240856,0.00047122956108714797,0.06073153899240856,0.15665976535541754,0.19047619047619047,0.06073153899240856,0.10616517138256268,0.11403266620657924
baseline,2025-05-15 09:14:25.081005-03:00,2025-05-22 09:14:25.081005-03:00,1,79,3837,0.12658227848101267,0.010782608695652174,0.12658227848101267,0.24050632911392406,0.2911392405063291,0.12658227848101267,0.17721518987341772,0.1879746835443038
baseline,2025-05-15 11:29:41.527005-03:00,2025-05-22 11:29:41.527005-03:00,1,97,12507,0.09278350515463918,0.010693400167084378,0.09278350515463918,0.27835051546391754,0.3711340206185567,0.09278350515463918,0.16838487972508592,0.19003436426116843
baseline,2025-05-15 11:43:42.906010-03:00,2025-05-22 11:43:42.906010-03:00,1,6456,62315,0.1332094175960347,0.002583529100751627,0.1332094175960347,0.2865551425030979,0.3952912019826518,0.1332094175960347,0.19893638992151927,0.22374277158199027
baseline,2025-05-15 12:00:34.919013-03:00,2025-05-22 12:00:34.919013-03:00,1,11,847,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.03636363636363637
baseline,2025-05-15 13:54:27.589002-03:00,2025-05-22 13:54:27.589002-03:00,1,344,25178,0.023255813953488372,0.0005954817819792326,0.023255813953488372,0.12209302325581395,0.19476744186046513,0.023255813953488372,0.07267441860465117,0.08866279069767438
baseline,2025-05-15 23:05:36.614007-03:00,2025-05-22 23:05:36.614007-03:00,1,35,631,0.05714285714285714,0.015037593984962405,0.05714285714285714,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.05714285714285714,0.08571428571428572
baseline,2025-05-16 14:30:05.710000-03:00,2025-05-23 14:30:05.710000-03:00,1,106,6088,0.3018867924528302,0.016563146997929608,0.3018867924528302,0.39622641509433965,0.44339622641509435,0.3018867924528302,0.3443396226415094,0.35424528301886804
