model,test_start,test_end,users_in_window,total_n_test,total_n_train,accuracy_top1,f1_macro_top1,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5
baseline,2025-01-30 13:54:27.589002-03:00,2025-02-06 13:54:27.589002-03:00,1,1568,12509,0.16517857142857142,0.003388168626309919,0.16517857142857142,0.24362244897959184,0.3284438775510204,0.16517857142857142,0.19727891156462532,0.21500850340135938
baseline,2025-01-30 23:05:36.614007-03:00,2025-02-06 23:05:36.614007-03:00,1,3,74,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.16666666666666666,0.3333333333333333
baseline,2025-01-31 14:30:05.710000-03:00,2025-02-07 14:30:05.710000-03:00,1,723,939,0.056708160442600276,0.00360122968818621,0.056708160442600276,0.4024896265560166,0.4633471645919779,0.056708160442600276,0.223144306131858,0.23642231443061307
baseline,2025-02-01 08:47:57.581000-03:00,2025-02-08 08:47:57.581000-03:00,1,119,182,0.058823529411764705,0.0017921146953405016,0.058823529411764705,0.15126050420168066,0.16806722689075632,0.058823529411764705,0.10084033613445378,0.10504201680672269
baseline,2025-02-01 10:28:20.800009-03:00,2025-02-08 10:28:20.800009-03:00,1,380,2152,0.20789473684210527,0.013239483827719122,0.20789473684210527,0.4921052631578947,0.5578947368421052,0.20789473684210527,0.3249999999999997,0.34144736842105233
baseline,2025-02-06 07:19:11.962001-03:00,2025-02-13 07:19:11.962001-03:00,1,2360,16492,0.05847457627118644,0.0006252293640330013,0.05847457627118644,0.14110169491525423,0.21398305084745764,0.05847457627118644,0.09519774011299444,0.11159604519773987
baseline,2025-02-06 07:29:04.576003-03:00,2025-02-13 07:29:04.576003-03:00,1,443,4833,0.01805869074492099,0.001108758197434376,0.01805869074492099,0.0744920993227991,0.09932279909706546,0.01805869074492099,0.04326561324303988,0.048344620015048904
baseline,2025-02-06 09:14:25.081005-03:00,2025-02-13 09:14:25.081005-03:00,1,114,1675,0.03508771929824561,0.0012791813239526704,0.03508771929824561,0.07017543859649122,0.09649122807017543,0.03508771929824561,0.049707602339181284,0.0554093567251462
baseline,2025-02-06 11:29:41.527005-03:00,2025-02-13 11:29:41.527005-03:00,1,833,5574,0.38535414165666265,0.006784461258824027,0.38535414165666265,0.503001200480192,0.5594237695078031,0.38535414165666265,0.43477390956382533,0.4485794317727089
baseline,2025-02-06 11:43:42.906010-03:00,2025-02-13 11:43:42.906010-03:00,1,996,18798,0.002008032128514056,0.00013071895424836603,0.002008032128514056,0.285140562248996,0.35843373493975905,0.002008032128514056,0.10776439089692078,0.1258366800535473
